,year_month,Date,Open,High,Low,Close,Volume,granularity
127,1986-10,1986-10-31,243.7,244.51,242.95,243.98,81777778,month_end
128,1986-11,1986-11-28,248.82,249.22,248.07,249.22,51961111,month_end
129,1986-12,1986-12-31,243.37,244.03,241.28,242.17,77333333,month_end
130,1987-01,1987-01-30,274.24,274.24,271.38,274.08,90777778,month_end
131,1987-02,1987-02-27,282.96,284.55,282.77,284.2,79333333,month_end
132,1987-03,1987-03-31,289.21,291.87,289.07,291.7,95444444,month_end
133,1987-04,1987-04-30,284.58,290.08,284.57,288.36,101722222,month_end
134,1987-05,1987-05-29,290.77,292.87,289.7,290.1,85277778,month_end
135,1987-06,1987-06-30,307.89,308.0,303.01,304.0,91944444,month_end
136,1987-07,1987-07-31,318.05,318.85,317.56,318.66,101055556,month_end
137,1987-08,1987-08-31,327.03,330.09,326.99,329.8,92111111,month_end
138,1987-09,1987-09-30,321.69,322.53,320.16,321.83,101722222,month_end
139,1987-10,1987-10-30,244.77,254.04,244.77,251.79,168555556,month_end
140,1987-11,1987-11-30,240.27,240.34,225.75,230.3,149394444,month_end
141,1987-12,1987-12-31,247.84,247.86,245.22,247.08,94522222,month_end
142,1988-01,1988-01-29,253.31,257.07,252.7,257.07,117711111,month_end
143,1988-02,1988-02-29,262.46,267.82,262.46,267.82,131138889,month_end
144,1988-03,1988-03-31,258.03,259.03,256.16,258.89,77705556,month_end
145,1988-04,1988-04-29,262.59,262.61,259.97,261.33,75344444,month_end
146,1988-05,1988-05-31,253.44,262.16,253.42,262.16,137561111,month_end
147,1988-06,1988-06-30,271.0,273.51,270.97,273.5,126338889,month_end
148,1988-07,1988-07-29,266.04,272.02,266.02,272.02,106855556,month_end
149,1988-08,1988-08-31,262.51,263.8,261.21,261.52,72488889,month_end
150,1988-09,1988-09-30,272.55,274.87,271.66,271.91,97638889,month_end
151,1988-10,1988-10-31,278.54,279.39,277.14,278.97,79700000,month_end
152,1988-11,1988-11-30,270.91,274.36,270.9,273.7,87672222,month_end
153,1988-12,1988-12-30,279.39,279.78,277.72,277.72,70672222,month_end
154,1989-01,1989-01-31,294.99,297.51,293.57,297.47,107805556,month_end
155,1989-02,1989-02-28,287.82,289.42,287.63,288.86,81905556,month_end
156,1989-03,1989-03-31,292.52,294.96,292.52,294.87,94977778,month_end
157,1989-04,1989-04-28,309.58,309.65,308.48,309.64,87994444,month_end
158,1989-05,1989-05-31,319.05,321.3,318.68,320.52,90294444,month_end
159,1989-06,1989-06-30,319.67,319.97,314.38,317.98,94716667,month_end
160,1989-07,1989-07-31,342.13,346.08,342.02,346.08,92583333,month_end
161,1989-08,1989-08-31,350.65,351.45,350.21,351.45,80455556,month_end
162,1989-09,1989-09-29,348.6,350.31,348.12,349.15,86277778,month_end
163,1989-10,1989-10-31,335.08,340.86,335.07,340.36,97833333,month_end
164,1989-11,1989-11-30,343.6,346.5,343.57,345.99,85111111,month_end
165,1989-12,1989-12-29,350.68,353.41,350.67,353.4,81077778,month_end
166,1990-01,1990-01-31,322.98,329.08,322.98,329.08,105366667,month_end
167,1990-02,1990-02-28,330.26,333.48,330.16,331.89,102444444,month_end
168,1990-03,1990-03-30,340.79,341.41,338.21,339.94,77411111,month_end
169,1990-04,1990-04-30,329.11,331.31,327.76,330.8,68194444,month_end
170,1990-05,1990-05-31,360.86,361.84,360.23,361.23,92050000,month_end
171,1990-06,1990-06-29,357.64,359.09,357.3,358.02,80838889,month_end
172,1990-07,1990-07-31,355.55,357.54,353.91,356.15,97433333,month_end
173,1990-08,1990-08-31,318.71,322.57,316.59,322.56,53600000,month_end
174,1990-09,1990-09-28,300.97,306.05,295.98,306.05,111672222,month_end
175,1990-10,1990-10-31,304.06,305.7,302.33,304.0,86700000,month_end
176,1990-11,1990-11-30,316.42,323.02,315.42,322.22,106861111,month_end
177,1990-12,1990-12-31,328.71,330.23,327.5,330.22,63405556,month_end
178,1991-01,1991-01-31,340.92,343.93,340.47,343.93,113622222,month_end
179,1991-02,1991-02-28,367.73,369.91,365.95,367.07,123894444,month_end
180,1991-03,1991-03-28,375.35,376.6,374.4,375.22,83750000,month_end
181,1991-04,1991-04-30,373.66,377.86,373.01,375.34,114572222,month_end
182,1991-05,1991-05-31,386.96,389.85,385.01,389.83,128911111,month_end
183,1991-06,1991-06-28,374.4,374.4,367.98,371.16,90983333,month_end
184,1991-07,1991-07-31,386.69,387.81,386.19,387.81,92683333,month_end
185,1991-08,1991-08-30,396.47,396.47,393.6,395.43,79688889,month_end
186,1991-09,1991-09-30,385.91,388.29,384.32,387.86,81544444,month_end
187,1991-10,1991-10-31,392.96,392.96,391.58,392.45,99822222,month_end
188,1991-11,1991-11-29,376.55,376.55,374.65,375.22,42683333,month_end
189,1991-12,1991-12-31,415.14,418.32,412.73,417.09,137266667,month_end
190,1992-01,1992-01-31,411.65,412.63,408.64,408.78,109788889,month_end
191,1992-02,1992-02-28,413.86,416.07,411.8,412.7,112400000,month_end
192,1992-03,1992-03-31,403.0,405.21,402.22,403.69,101311111,month_end
193,1992-04,1992-04-30,412.02,414.95,412.02,414.95,124216667,month_end
194,1992-05,1992-05-29,416.74,418.36,415.35,415.35,113338889,month_end
195,1992-06,1992-06-30,408.94,409.63,407.85,408.14,108627778,month_end
196,1992-07,1992-07-31,423.92,424.8,422.46,424.21,96066667,month_end
197,1992-08,1992-08-31,414.87,415.29,413.76,414.03,89711111,month_end
198,1992-09,1992-09-30,416.79,418.58,416.67,417.8,102483333,month_end
199,1992-10,1992-10-30,420.86,421.13,418.54,418.68,112183333,month_end
200,1992-11,1992-11-30,430.19,431.53,429.36,431.35,127861111,month_end
201,1992-12,1992-12-31,438.82,439.59,435.71,435.71,92172222,month_end
202,1993-01,1993-01-29,438.67,438.93,436.91,438.78,137333333,month_end
203,1993-02,1993-02-26,442.34,443.77,440.98,443.38,130088889,month_end
204,1993-03,1993-03-31,451.97,454.88,451.67,451.67,155105556,month_end
205,1993-04,1993-04-30,438.89,442.29,438.89,440.19,137477778,month_end
206,1993-05,1993-05-28,452.41,452.41,447.67,450.19,115455556,month_end
207,1993-06,1993-06-30,450.69,451.47,450.15,450.53,156177778,month_end
208,1993-07,1993-07-30,450.19,450.22,446.98,448.13,141344444,month_end
209,1993-08,1993-08-31,461.9,463.56,461.29,463.56,140461111,month_end
210,1993-09,1993-09-30,460.11,460.56,458.28,458.93,156100000,month_end
211,1993-10,1993-10-29,467.72,468.2,467.37,467.83,150316667,month_end
212,1993-11,1993-11-30,461.9,463.62,460.45,461.79,159255556,month_end
213,1993-12,1993-12-31,468.66,470.75,466.45,466.45,93661111,month_end
214,1994-01,1994-01-31,478.7,482.85,478.7,481.61,179372222,month_end
215,1994-02,1994-02-28,466.07,469.16,466.07,467.14,149272222,month_end
216,1994-03,1994-03-31,445.55,447.16,436.16,445.77,224211111,month_end
217,1994-04,1994-04-29,449.07,451.35,447.91,450.91,163316667,month_end
218,1994-05,1994-05-31,457.32,457.61,455.16,456.5,120388889,month_end
219,1994-06,1994-06-30,447.63,448.61,443.66,444.27,163005556,month_end
220,1994-07,1994-07-29,454.25,459.33,454.25,458.26,149755556,month_end
221,1994-08,1994-08-31,476.07,477.59,474.43,475.49,197027778,month_end
222,1994-09,1994-09-30,462.27,465.3,461.91,462.71,162166667,month_end
223,1994-10,1994-10-31,473.76,474.74,472.33,472.35,168233333,month_end
224,1994-11,1994-11-30,455.17,457.13,453.27,453.69,165916667,month_end
225,1994-12,1994-12-30,461.17,462.12,459.24,459.27,142366667,month_end
226,1995-01,1995-01-31,468.51,471.03,468.18,470.42,228661111,month_end
227,1995-02,1995-02-28,483.81,487.44,483.77,487.39,176233333,month_end
228,1995-03,1995-03-31,501.94,502.22,495.7,500.71,196144444,month_end
229,1995-04,1995-04-28,513.64,515.29,510.9,514.71,178022222,month_end
230,1995-05,1995-05-31,523.7,533.41,522.17,533.4,198988889,month_end
231,1995-06,1995-06-30,543.87,546.82,543.51,544.75,173138889,month_end
232,1995-07,1995-07-31,562.93,563.49,560.06,562.06,162194444,month_end
233,1995-08,1995-08-31,561.09,562.36,560.49,561.88,167177778,month_end
234,1995-09,1995-09-29,585.87,587.61,584.0,584.41,186250000,month_end
235,1995-10,1995-10-31,583.25,586.71,581.5,581.5,209661111,month_end
236,1995-11,1995-11-30,607.64,608.69,605.37,605.37,244472222,month_end
237,1995-12,1995-12-29,614.12,615.93,612.36,615.93,178472222,month_end
238,1996-01,1996-01-31,630.15,636.18,629.48,636.02,262338889,month_end
239,1996-02,1996-02-29,644.75,646.95,639.01,640.43,251761111,month_end
240,1996-03,1996-03-29,648.94,650.96,644.89,645.5,229727778,month_end
241,1996-04,1996-04-30,654.16,654.59,651.05,654.17,218550000,month_end
242,1996-05,1996-05-31,671.7,673.46,667.0,669.12,195416667,month_end
243,1996-06,1996-06-28,668.55,672.68,668.55,670.63,261366667,month_end
244,1996-07,1996-07-31,635.26,640.54,633.74,639.95,224200000,month_end
